DEBUG 2025-01-27 13:16:01,364 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\dateutil\__init__.py first seen with mtime 1737714126.123517
DEBUG 2025-01-27 13:16:01,364 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\utils\module_loading.py first seen with mtime 1737714128.004636
DEBUG 2025-01-27 13:16:01,364 autoreload File C:\Python313\Lib\typing.py first seen with mtime 1733239650.0
DEBUG 2025-01-27 13:16:01,364 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\contrib\admindocs\__init__.py first seen with mtime 1737714126.9099233
DEBUG 2025-01-27 13:16:01,364 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\vine\__init__.py first seen with mtime 1737714111.9420009
DEBUG 2025-01-27 13:16:01,365 autoreload File C:\Python313\Lib\importlib\metadata\__init__.py first seen with mtime 1733239648.0
DEBUG 2025-01-27 13:16:01,365 autoreload File C:\Python313\DLLs\_overlapped.pyd first seen with mtime 1733239692.0
DEBUG 2025-01-27 13:16:01,365 autoreload File C:\Python313\Lib\weakref.py first seen with mtime 1733239650.0
DEBUG 2025-01-27 13:16:01,365 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\core\cache\backends\base.py first seen with mtime 1737714127.8584218
DEBUG 2025-01-27 13:16:01,365 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\core\serializers\__init__.py first seen with mtime 1737714127.8863168
DEBUG 2025-01-27 13:16:01,365 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\kombu\utils\imports.py first seen with mtime 1737714164.1227365
DEBUG 2025-01-27 13:16:01,365 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\views\decorators\debug.py first seen with mtime 1737714128.0136652
DEBUG 2025-01-27 13:16:01,365 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\core\files\storage\memory.py first seen with mtime 1737714127.8710363
DEBUG 2025-01-27 13:16:01,365 autoreload File T:\quantified_ante\quantified_ante_django\quantifiedante\xyz\Lib\site-packages\django\utils\version.py first seen with mtime 1737714128.007635
DEBUG 2025-01-27 13:16:01,365 autoreload File C:\Python313\Lib\locale.py first seen with mtime 1733239648.0
